DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
9.36141,25.596658,0.018428,5,152.12,4782.277983,335433.430181,311.178801
9.946852,25.285597,0.017923,3,243.573333,4939.794107,332355.242861,308.929351
9.52495,25.454538,0.018486,5,155.88,4764.608439,334950.984676,310.73205
9.248159,26.806243,0.01784,3,281.226667,4966.655277,333094.814499,309.645124
9.153333,27.832833,0.017806,3,266.04,4964.347126,332232.95011,308.932076
9.231869,23.902299,0.018181,4,192.29,4874.491323,333061.156981,309.382019
9.573312,25.898487,0.018546,2,428.04,4765.207806,335146.709842,310.892649
9.93223,26.369854,0.01748,3,292.826667,5084.103214,330666.313567,307.862679
10.356625,25.915955,0.018233,2,407.14,4842.42922,334287.166846,310.364375
9.800009,26.81911,0.018398,3,254.573333,4804.474286,333797.196838,309.811349
8.958946,28.000149,0.018464,2,432.24,4792.502242,334671.245376,310.573518
10.212828,26.69208,0.017577,3,297.76,5058.1745,332578.412157,309.466959
10.307182,27.158036,0.01768,2,445.1,5040.425527,332989.325211,309.773268
9.826676,26.278502,0.01798,3,252.573333,4922.683313,332840.744386,309.317895
9.182589,26.22876,0.57398,1,835.76,4345.442851,334025.814481,275.036191
9.737218,25.574224,0.018567,4,188.44,4751.841798,334961.286389,310.69054
10.032097,25.55947,0.018053,4,194.67,4918.357097,332473.139179,308.99014
9.774712,26.272472,0.01832,2,387.34,4831.317656,333292.211361,309.47059
10.260647,28.240177,0.017528,2,429.92,5068.531633,332915.680233,309.801786
9.395258,25.510127,0.018237,2,384.14,4850.496201,334020.765828,310.147429
6.111234,27.922475,0.017968,3,280.093333,4926.379885,334000.514732,310.338868
9.685152,25.871081,0.018501,4,192.64,4771.427953,334070.069683,309.963014
10.122512,26.929134,0.018179,6,130.306667,4877.300326,334713.649337,310.809718
9.118906,26.964782,0.018326,2,400.94,4814.328937,334200.61896,310.212067
9.98979,26.729116,0.01809,4,179.69,4880.715957,333109.593837,309.420782
9.553039,25.719003,0.018122,1,853.2,4869.252212,333069.278392,309.387368
9.678965,27.057423,0.01844,3,284.346667,4782.870545,334423.683392,310.329853
10.164602,26.489318,0.018847,3,254.44,4680.312661,334917.117801,310.470711
10.004439,27.005566,0.018668,2,436.04,4738.906253,335465.745269,311.106007
10.035068,25.591128,0.018194,3,256.44,4849.666899,333736.343669,309.889773
10.363688,25.2574,0.018821,4,194.04,4676.020994,335704.271155,311.122246
7.955536,26.539406,0.017838,5,149.96,4962.958023,333218.418458,309.771645
10.006688,27.674669,0.018427,2,453.92,4804.095019,334627.602639,310.560006
10.424028,28.377872,0.018487,4,205.59,4788.713398,334703.597433,310.580502
7.810049,27.450319,0.273837,2,408.94,4419.177221,334238.339395,274.167154
10.162547,26.270538,0.018367,3,258.24,4835.673062,334066.001532,310.124092
10.17117,25.803155,0.01839,1,798.84,4815.539935,333953.842459,310.009752
9.811862,29.002542,0.018135,2,447.4,4887.748687,334473.284497,310.654867
9.405247,26.422166,0.018114,1,912.4,4896.385435,334024.685444,310.303104
10.484882,26.575867,0.018506,2,394.72,4752.273295,333964.039884,309.852321
9.47288,26.985908,0.018342,1,865.16,4833.776577,334614.18862,310.605024
10.046548,27.361867,0.01868,4,191.44,4730.249993,335557.664368,311.175663
9.744839,26.106326,0.018684,1,774,4724.427096,335891.872981,311.418759
8.44316,25.785954,0.018184,5,141.2,4856.199047,332708.562722,309.021002
9.585477,26.926995,0.018528,2,411.12,4745.296965,333695.641575,309.581897
9.624776,24.921441,0.01795,4,203.18,4934.869006,332627.515587,309.167554
10.04785,26.703825,0.017783,3,274.56,4990.850961,333093.78948,309.720865
9.038456,26.681673,0.018413,2,412.04,4779.863803,334898.571299,310.713787
8.923806,26.949978,0.018015,4,194.89,4922.106071,334835.165797,311.05325
9.715174,25.825403,0.018198,2,439.24,4858.880361,334636.810685,310.700303
10.146723,27.341072,0.018247,3,265.773333,4844.915112,334274.170875,310.366852
9.626096,26.367942,0.018175,4,188.99,4881.496926,333853.641639,310.075057
8.956003,26.200039,0.017856,2,436.1,4955.693628,333273.654028,309.784014
10.705779,27.976959,0.018841,5,154.96,4681.974285,335828.274919,311.239233
